websocket_datetime,websocket_price
2023-12-19 02:25:13.896,43068.0
2023-12-19 02:25:14.054,43064.31
2023-12-19 02:25:14.168,43068.83
2023-12-19 02:25:15.295,43064.7
2023-12-19 02:25:16.339,43039.6
2023-12-19 02:25:16.339,43039.6
2023-12-19 02:25:16.753,43066.05
2023-12-19 02:25:16.798,43064.69
2023-12-19 02:25:16.875,43066.94
2023-12-19 02:25:17.078,43066.93
2023-12-19 02:25:17.078,43066.93
2023-12-19 02:25:17.518,43069.01
2023-12-19 02:25:19.122,43069.25
2023-12-19 02:25:19.187,43073.28
2023-12-19 02:25:19.198,43073.28
2023-12-19 02:25:19.330,43077.25
2023-12-19 02:25:19.582,43075.75
2023-12-19 02:25:20.464,43069.87
2023-12-19 02:25:20.978,43074.26
2023-12-19 02:25:21.220,43072.85
2023-12-19 02:25:21.220,43070.63
2023-12-19 02:25:21.220,43070.61
2023-12-19 02:25:21.220,43070.6
2023-12-19 02:25:21.220,43070.59
2023-12-19 02:25:21.227,43076.73
2023-12-19 02:25:22.086,43070.59
2023-12-19 02:25:23.167,43070.74
2023-12-19 02:25:23.502,43070.77
2023-12-19 02:25:24.035,43080.0
2023-12-19 02:25:24.280,43070.99
2023-12-19 02:25:24.962,43039.6
2023-12-19 02:25:25.180,43072.04
2023-12-19 02:25:26.925,43071.0
2023-12-19 02:25:26.985,43072.38
2023-12-19 02:25:29.295,43074.41
2023-12-19 02:25:29.295,43074.43
2023-12-19 02:25:29.340,43074.61
2023-12-19 02:25:30.391,43075.71
2023-12-19 02:25:30.391,43075.71
2023-12-19 02:25:32.756,43074.64
